[0.009s][info][gc,init] CardTable entry size: 512
[0.009s][info][gc     ] Using G1
[0.017s][info][gc,init] Version: 21.0.5+9-LTS-239 (release)
[0.017s][info][gc,init] CPUs: 12 total, 12 available
[0.017s][info][gc,init] Memory: 16190M
[0.017s][info][gc,init] Large Page Support: Disabled
[0.017s][info][gc,init] NUMA Support: Disabled
[0.017s][info][gc,init] Compressed Oops: Enabled (Zero based)
[0.017s][info][gc,init] Heap Region Size: 2M
[0.017s][info][gc,init] Heap Min Capacity: 2G
[0.017s][info][gc,init] Heap Initial Capacity: 2G
[0.017s][info][gc,init] Heap Max Capacity: 4G
[0.017s][info][gc,init] Pre-touch: Disabled
[0.017s][info][gc,init] Parallel Workers: 10
[0.017s][info][gc,init] Concurrent Workers: 3
[0.018s][info][gc,init] Concurrent Refinement Workers: 10
[0.018s][info][gc,init] Periodic GC: Disabled
[0.026s][info][gc,metaspace] CDS archive(s) mapped at: [0x0000027880000000-0x0000027880c90000-0x0000027880c90000), size 13172736, SharedBaseAddress: 0x0000027880000000, ArchiveRelocationMode: 1.
[0.026s][info][gc,metaspace] Compressed class space mapped at: 0x0000027881000000-0x00000278c1000000, reserved size: 1073741824
[0.026s][info][gc,metaspace] Narrow klass base: 0x0000027880000000, Narrow klass shift: 0, Narrow klass range: 0x100000000
[0.421s][info][gc,start    ] GC(0) Pause Young (Normal) (G1 Evacuation Pause)
[0.422s][info][gc,task     ] GC(0) Using 10 workers of 10 for evacuation
[0.427s][info][gc,phases   ] GC(0)   Pre Evacuate Collection Set: 0.2ms
[0.427s][info][gc,phases   ] GC(0)   Merge Heap Roots: 0.1ms
[0.427s][info][gc,phases   ] GC(0)   Evacuate Collection Set: 4.4ms
[0.427s][info][gc,phases   ] GC(0)   Post Evacuate Collection Set: 0.4ms
[0.427s][info][gc,phases   ] GC(0)   Other: 0.6ms
[0.427s][info][gc,heap     ] GC(0) Eden regions: 51->0(45)
[0.427s][info][gc,heap     ] GC(0) Survivor regions: 0->6(7)
[0.427s][info][gc,heap     ] GC(0) Old regions: 0->0
[0.427s][info][gc,heap     ] GC(0) Humongous regions: 0->0
[0.427s][info][gc,metaspace] GC(0) Metaspace: 1702K(1856K)->1702K(1856K) NonClass: 1558K(1600K)->1558K(1600K) Class: 144K(256K)->144K(256K)
[0.427s][info][gc          ] GC(0) Pause Young (Normal) (G1 Evacuation Pause) 102M->10M(2048M) 6.156ms
[0.427s][info][gc,cpu      ] GC(0) User=0.03s Sys=0.03s Real=0.01s
[0.540s][info][gc,start    ] GC(1) Pause Young (Normal) (G1 Evacuation Pause)
[0.540s][info][gc,task     ] GC(1) Using 10 workers of 10 for evacuation
[0.546s][info][gc,phases   ] GC(1)   Pre Evacuate Collection Set: 0.2ms
[0.546s][info][gc,phases   ] GC(1)   Merge Heap Roots: 0.1ms
[0.546s][info][gc,phases   ] GC(1)   Evacuate Collection Set: 5.2ms
[0.546s][info][gc,phases   ] GC(1)   Post Evacuate Collection Set: 0.3ms
[0.546s][info][gc,phases   ] GC(1)   Other: 0.1ms
[0.546s][info][gc,heap     ] GC(1) Eden regions: 45->0(56)
[0.546s][info][gc,heap     ] GC(1) Survivor regions: 6->4(7)
[0.546s][info][gc,heap     ] GC(1) Old regions: 0->3
[0.546s][info][gc,heap     ] GC(1) Humongous regions: 0->0
[0.546s][info][gc,metaspace] GC(1) Metaspace: 1717K(1856K)->1717K(1856K) NonClass: 1573K(1600K)->1573K(1600K) Class: 144K(256K)->144K(256K)
[0.546s][info][gc          ] GC(1) Pause Young (Normal) (G1 Evacuation Pause) 100M->11M(2048M) 6.167ms
[0.546s][info][gc,cpu      ] GC(1) User=0.00s Sys=0.00s Real=0.01s
[0.677s][info][gc,start    ] GC(2) Pause Young (Normal) (G1 Evacuation Pause)
[0.677s][info][gc,task     ] GC(2) Using 10 workers of 10 for evacuation
[0.684s][info][gc,phases   ] GC(2)   Pre Evacuate Collection Set: 0.2ms
[0.684s][info][gc,phases   ] GC(2)   Merge Heap Roots: 0.1ms
[0.684s][info][gc,phases   ] GC(2)   Evacuate Collection Set: 6.0ms
[0.684s][info][gc,phases   ] GC(2)   Post Evacuate Collection Set: 0.3ms
[0.684s][info][gc,phases   ] GC(2)   Other: 0.1ms
