[0.008s][info][gc,init] CardTable entry size: 512
[0.009s][info][gc     ] Using G1
[0.017s][info][gc,init] Version: 21.0.5+9-LTS-239 (release)
[0.017s][info][gc,init] CPUs: 12 total, 12 available
[0.017s][info][gc,init] Memory: 16190M
[0.017s][info][gc,init] Large Page Support: Disabled
[0.017s][info][gc,init] NUMA Support: Disabled
[0.017s][info][gc,init] Compressed Oops: Enabled (Zero based)
[0.017s][info][gc,init] Heap Region Size: 2M
[0.017s][info][gc,init] Heap Min Capacity: 2G
[0.017s][info][gc,init] Heap Initial Capacity: 2G
[0.017s][info][gc,init] Heap Max Capacity: 4G
[0.017s][info][gc,init] Pre-touch: Disabled
[0.018s][info][gc,init] Parallel Workers: 10
[0.018s][info][gc,init] Concurrent Workers: 3
[0.018s][info][gc,init] Concurrent Refinement Workers: 10
[0.018s][info][gc,init] Periodic GC: Disabled
[0.026s][info][gc,metaspace] CDS archive(s) mapped at: [0x0000027c00000000-0x0000027c00c90000-0x0000027c00c90000), size 13172736, SharedBaseAddress: 0x0000027c00000000, ArchiveRelocationMode: 1.
[0.026s][info][gc,metaspace] Compressed class space mapped at: 0x0000027c01000000-0x0000027c41000000, reserved size: 1073741824
[0.026s][info][gc,metaspace] Narrow klass base: 0x0000027c00000000, Narrow klass shift: 0, Narrow klass range: 0x100000000
[0.407s][info][gc,start    ] GC(0) Pause Young (Normal) (G1 Evacuation Pause)
[0.408s][info][gc,task     ] GC(0) Using 10 workers of 10 for evacuation
[0.414s][info][gc,phases   ] GC(0)   Pre Evacuate Collection Set: 0.2ms
[0.414s][info][gc,phases   ] GC(0)   Merge Heap Roots: 0.1ms
[0.414s][info][gc,phases   ] GC(0)   Evacuate Collection Set: 5.0ms
[0.414s][info][gc,phases   ] GC(0)   Post Evacuate Collection Set: 0.4ms
[0.414s][info][gc,phases   ] GC(0)   Other: 0.7ms
[0.414s][info][gc,heap     ] GC(0) Eden regions: 51->0(50)
[0.414s][info][gc,heap     ] GC(0) Survivor regions: 0->5(7)
[0.414s][info][gc,heap     ] GC(0) Old regions: 0->0
[0.414s][info][gc,heap     ] GC(0) Humongous regions: 0->0
[0.414s][info][gc,metaspace] GC(0) Metaspace: 1706K(1856K)->1706K(1856K) NonClass: 1559K(1600K)->1559K(1600K) Class: 146K(256K)->146K(256K)
[0.414s][info][gc          ] GC(0) Pause Young (Normal) (G1 Evacuation Pause) 102M->8M(2048M) 6.762ms
[0.414s][info][gc,cpu      ] GC(0) User=0.00s Sys=0.00s Real=0.01s
[0.539s][info][gc,start    ] GC(1) Pause Young (Normal) (G1 Evacuation Pause)
[0.539s][info][gc,task     ] GC(1) Using 10 workers of 10 for evacuation
[0.544s][info][gc,phases   ] GC(1)   Pre Evacuate Collection Set: 0.2ms
[0.544s][info][gc,phases   ] GC(1)   Merge Heap Roots: 0.1ms
[0.544s][info][gc,phases   ] GC(1)   Evacuate Collection Set: 5.1ms
[0.544s][info][gc,phases   ] GC(1)   Post Evacuate Collection Set: 0.4ms
[0.545s][info][gc,phases   ] GC(1)   Other: 0.1ms
[0.545s][info][gc,heap     ] GC(1) Eden regions: 50->0(61)
[0.545s][info][gc,heap     ] GC(1) Survivor regions: 5->3(7)
[0.545s][info][gc,heap     ] GC(1) Old regions: 0->4
[0.545s][info][gc,heap     ] GC(1) Humongous regions: 0->0
[0.545s][info][gc,metaspace] GC(1) Metaspace: 1724K(1920K)->1724K(1920K) NonClass: 1578K(1664K)->1578K(1664K) Class: 146K(256K)->146K(256K)
[0.545s][info][gc          ] GC(1) Pause Young (Normal) (G1 Evacuation Pause) 108M->11M(2048M) 6.104ms
[0.545s][info][gc,cpu      ] GC(1) User=0.05s Sys=0.08s Real=0.01s
[0.675s][info][gc,start    ] GC(2) Pause Young (Normal) (G1 Evacuation Pause)
[0.675s][info][gc,task     ] GC(2) Using 10 workers of 10 for evacuation
[0.682s][info][gc,phases   ] GC(2)   Pre Evacuate Collection Set: 0.2ms
[0.682s][info][gc,phases   ] GC(2)   Merge Heap Roots: 0.2ms
[0.682s][info][gc,phases   ] GC(2)   Evacuate Collection Set: 6.1ms
[0.682s][info][gc,phases   ] GC(2)   Post Evacuate Collection Set: 0.3ms
[0.682s][info][gc,phases   ] GC(2)   Other: 0.1ms
