[0.008s][info][gc,init] CardTable entry size: 512
[0.009s][info][gc     ] Using G1
[0.018s][info][gc,init] Version: 21.0.5+9-LTS-239 (release)
[0.018s][info][gc,init] CPUs: 12 total, 12 available
[0.018s][info][gc,init] Memory: 16190M
[0.018s][info][gc,init] Large Page Support: Disabled
[0.018s][info][gc,init] NUMA Support: Disabled
[0.018s][info][gc,init] Compressed Oops: Enabled (Zero based)
[0.018s][info][gc,init] Heap Region Size: 2M
[0.018s][info][gc,init] Heap Min Capacity: 2G
[0.018s][info][gc,init] Heap Initial Capacity: 2G
[0.018s][info][gc,init] Heap Max Capacity: 4G
[0.018s][info][gc,init] Pre-touch: Disabled
[0.018s][info][gc,init] Parallel Workers: 10
[0.018s][info][gc,init] Concurrent Workers: 3
[0.018s][info][gc,init] Concurrent Refinement Workers: 10
[0.018s][info][gc,init] Periodic GC: Disabled
[0.026s][info][gc,metaspace] CDS archive(s) mapped at: [0x000001d9a9000000-0x000001d9a9c90000-0x000001d9a9c90000), size 13172736, SharedBaseAddress: 0x000001d9a9000000, ArchiveRelocationMode: 1.
[0.026s][info][gc,metaspace] Compressed class space mapped at: 0x000001d9aa000000-0x000001d9ea000000, reserved size: 1073741824
[0.026s][info][gc,metaspace] Narrow klass base: 0x000001d9a9000000, Narrow klass shift: 0, Narrow klass range: 0x100000000
[0.362s][info][gc,start    ] GC(0) Pause Young (Normal) (G1 Evacuation Pause)
[0.363s][info][gc,task     ] GC(0) Using 10 workers of 10 for evacuation
[0.369s][info][gc,phases   ] GC(0)   Pre Evacuate Collection Set: 0.2ms
[0.369s][info][gc,phases   ] GC(0)   Merge Heap Roots: 0.1ms
[0.369s][info][gc,phases   ] GC(0)   Evacuate Collection Set: 4.9ms
[0.369s][info][gc,phases   ] GC(0)   Post Evacuate Collection Set: 0.4ms
[0.369s][info][gc,phases   ] GC(0)   Other: 0.8ms
[0.369s][info][gc,heap     ] GC(0) Eden regions: 51->0(49)
[0.369s][info][gc,heap     ] GC(0) Survivor regions: 0->4(7)
[0.369s][info][gc,heap     ] GC(0) Old regions: 0->0
[0.369s][info][gc,heap     ] GC(0) Humongous regions: 0->0
[0.369s][info][gc,metaspace] GC(0) Metaspace: 1701K(1792K)->1701K(1792K) NonClass: 1556K(1600K)->1556K(1600K) Class: 145K(192K)->145K(192K)
[0.369s][info][gc          ] GC(0) Pause Young (Normal) (G1 Evacuation Pause) 102M->7M(2048M) 6.735ms
[0.369s][info][gc,cpu      ] GC(0) User=0.00s Sys=0.00s Real=0.00s
[0.519s][info][gc,start    ] GC(1) Pause Young (Normal) (G1 Evacuation Pause)
[0.519s][info][gc,task     ] GC(1) Using 10 workers of 10 for evacuation
[0.524s][info][gc,phases   ] GC(1)   Pre Evacuate Collection Set: 0.2ms
[0.524s][info][gc,phases   ] GC(1)   Merge Heap Roots: 0.1ms
[0.524s][info][gc,phases   ] GC(1)   Evacuate Collection Set: 4.6ms
[0.524s][info][gc,phases   ] GC(1)   Post Evacuate Collection Set: 0.3ms
[0.524s][info][gc,phases   ] GC(1)   Other: 0.1ms
[0.524s][info][gc,heap     ] GC(1) Eden regions: 49->0(61)
[0.524s][info][gc,heap     ] GC(1) Survivor regions: 4->3(7)
[0.524s][info][gc,heap     ] GC(1) Old regions: 0->4
[0.524s][info][gc,heap     ] GC(1) Humongous regions: 0->0
[0.524s][info][gc,metaspace] GC(1) Metaspace: 1720K(1856K)->1720K(1856K) NonClass: 1575K(1664K)->1575K(1664K) Class: 145K(192K)->145K(192K)
[0.524s][info][gc          ] GC(1) Pause Young (Normal) (G1 Evacuation Pause) 105M->11M(2048M) 5.518ms
[0.524s][info][gc,cpu      ] GC(1) User=0.00s Sys=0.00s Real=0.01s
[0.679s][info][gc,start    ] GC(2) Pause Young (Normal) (G1 Evacuation Pause)
[0.679s][info][gc,task     ] GC(2) Using 10 workers of 10 for evacuation
[0.686s][info][gc,phases   ] GC(2)   Pre Evacuate Collection Set: 0.2ms
[0.686s][info][gc,phases   ] GC(2)   Merge Heap Roots: 0.2ms
[0.686s][info][gc,phases   ] GC(2)   Evacuate Collection Set: 6.4ms
[0.686s][info][gc,phases   ] GC(2)   Post Evacuate Collection Set: 0.3ms
[0.686s][info][gc,phases   ] GC(2)   Other: 0.1ms
[0.686s][info][gc,heap     ] GC(2) Eden regions: 61->0(84)
[0.686s][info][gc,heap     ] GC(2) Survivor regions: 3->6(8)
[0.686s][info][gc,heap     ] GC(2) Old regions: 4->4
[0.686s][info][gc,heap     ] GC(2) Humongous regions: 2->1
[0.686s][info][gc,metaspace] GC(2) Metaspace: 1742K(1920K)->1742K(1920K) NonClass: 1597K(1728K)->1597K(1728K) Class: 145K(192K)->145K(192K)
[0.686s][info][gc          ] GC(2) Pause Young (Normal) (G1 Evacuation Pause) 137M->20M(2048M) 7.494ms
[0.686s][info][gc,cpu      ] GC(2) User=0.00s Sys=0.00s Real=0.01s
[0.808s][info][gc,start    ] GC(3) Pause Young (Normal) (G1 Evacuation Pause)
[0.808s][info][gc,task     ] GC(3) Using 10 workers of 10 for evacuation
[0.816s][info][gc,phases   ] GC(3)   Pre Evacuate Collection Set: 0.2ms
