[0.009s][info][gc,init] CardTable entry size: 512
[0.009s][info][gc     ] Using G1
[0.017s][info][gc,init] Version: 21.0.5+9-LTS-239 (release)
[0.017s][info][gc,init] CPUs: 12 total, 12 available
[0.017s][info][gc,init] Memory: 16190M
[0.017s][info][gc,init] Large Page Support: Disabled
[0.017s][info][gc,init] NUMA Support: Disabled
[0.017s][info][gc,init] Compressed Oops: Enabled (Zero based)
[0.017s][info][gc,init] Heap Region Size: 2M
[0.017s][info][gc,init] Heap Min Capacity: 2G
[0.017s][info][gc,init] Heap Initial Capacity: 2G
[0.017s][info][gc,init] Heap Max Capacity: 4G
[0.017s][info][gc,init] Pre-touch: Disabled
[0.017s][info][gc,init] Parallel Workers: 10
[0.017s][info][gc,init] Concurrent Workers: 3
[0.018s][info][gc,init] Concurrent Refinement Workers: 10
[0.018s][info][gc,init] Periodic GC: Disabled
[0.025s][info][gc,metaspace] CDS archive(s) mapped at: [0x000001b5cb000000-0x000001b5cbc90000-0x000001b5cbc90000), size 13172736, SharedBaseAddress: 0x000001b5cb000000, ArchiveRelocationMode: 1.
[0.025s][info][gc,metaspace] Compressed class space mapped at: 0x000001b5cc000000-0x000001b60c000000, reserved size: 1073741824
[0.025s][info][gc,metaspace] Narrow klass base: 0x000001b5cb000000, Narrow klass shift: 0, Narrow klass range: 0x100000000
[0.370s][info][gc,start    ] GC(0) Pause Young (Normal) (G1 Evacuation Pause)
[0.370s][info][gc,task     ] GC(0) Using 10 workers of 10 for evacuation
[0.377s][info][gc,phases   ] GC(0)   Pre Evacuate Collection Set: 0.2ms
[0.377s][info][gc,phases   ] GC(0)   Merge Heap Roots: 0.1ms
[0.377s][info][gc,phases   ] GC(0)   Evacuate Collection Set: 6.0ms
[0.377s][info][gc,phases   ] GC(0)   Post Evacuate Collection Set: 0.4ms
[0.377s][info][gc,phases   ] GC(0)   Other: 0.5ms
[0.377s][info][gc,heap     ] GC(0) Eden regions: 51->0(50)
[0.377s][info][gc,heap     ] GC(0) Survivor regions: 0->4(7)
[0.377s][info][gc,heap     ] GC(0) Old regions: 0->0
[0.377s][info][gc,heap     ] GC(0) Humongous regions: 0->0
[0.377s][info][gc,metaspace] GC(0) Metaspace: 1655K(1728K)->1655K(1728K) NonClass: 1512K(1536K)->1512K(1536K) Class: 143K(192K)->143K(192K)
[0.377s][info][gc          ] GC(0) Pause Young (Normal) (G1 Evacuation Pause) 102M->7M(2048M) 7.512ms
[0.377s][info][gc,cpu      ] GC(0) User=0.06s Sys=0.05s Real=0.01s
[0.516s][info][gc,start    ] GC(1) Pause Young (Normal) (G1 Evacuation Pause)
[0.516s][info][gc,task     ] GC(1) Using 10 workers of 10 for evacuation
[0.521s][info][gc,phases   ] GC(1)   Pre Evacuate Collection Set: 0.2ms
[0.521s][info][gc,phases   ] GC(1)   Merge Heap Roots: 0.1ms
[0.521s][info][gc,phases   ] GC(1)   Evacuate Collection Set: 4.6ms
[0.521s][info][gc,phases   ] GC(1)   Post Evacuate Collection Set: 0.3ms
[0.521s][info][gc,phases   ] GC(1)   Other: 0.1ms
[0.522s][info][gc,heap     ] GC(1) Eden regions: 50->0(59)
[0.522s][info][gc,heap     ] GC(1) Survivor regions: 4->6(7)
[0.522s][info][gc,heap     ] GC(1) Old regions: 0->0
[0.522s][info][gc,heap     ] GC(1) Humongous regions: 0->0
[0.522s][info][gc,metaspace] GC(1) Metaspace: 1671K(1792K)->1671K(1792K) NonClass: 1528K(1600K)->1528K(1600K) Class: 143K(192K)->143K(192K)
[0.522s][info][gc          ] GC(1) Pause Young (Normal) (G1 Evacuation Pause) 107M->11M(2048M) 5.503ms
[0.522s][info][gc,cpu      ] GC(1) User=0.00s Sys=0.00s Real=0.01s
[0.674s][info][gc,start    ] GC(2) Pause Young (Normal) (G1 Evacuation Pause)
[0.674s][info][gc,task     ] GC(2) Using 10 workers of 10 for evacuation
[0.682s][info][gc,phases   ] GC(2)   Pre Evacuate Collection Set: 0.2ms
[0.682s][info][gc,phases   ] GC(2)   Merge Heap Roots: 0.1ms
[0.682s][info][gc,phases   ] GC(2)   Evacuate Collection Set: 7.1ms
[0.682s][info][gc,phases   ] GC(2)   Post Evacuate Collection Set: 0.4ms
[0.682s][info][gc,phases   ] GC(2)   Other: 0.1ms
